[Thread 207] ✅ Checking Point (2.716409, 2.524109) -> ring_start=6624, ring_end=6656, Inside=0, Case=0
[Thread 208] ✅ Checking Point (2.524109, 0.462653) -> ring_start=6656, ring_end=6688, Inside=0, Case=1
[Thread 209] ✅ Checking Point (0.462653, 1.717391) -> ring_start=6688, ring_end=6720, Inside=0, Case=1
[Thread 210] ✅ Checking Point (1.717391, 2.577067) -> ring_start=6720, ring_end=6752, Inside=1, Case=1
[Thread 211] ✅ Checking Point (2.577067, 0.209634) -> ring_start=6752, ring_end=6784, Inside=0, Case=0
[Thread 212] ✅ Checking Point (0.209634, 0.173269) -> ring_start=6784, ring_end=6816, Inside=1, Case=1
[Thread 213] ✅ Checking Point (0.173269, 2.976372) -> ring_start=6816, ring_end=6848, Inside=0, Case=0
[Thread 214] ✅ Checking Point (2.976372, 2.493686) -> ring_start=6848, ring_end=6880, Inside=0, Case=1
[Thread 215] ✅ Checking Point (2.493686, 0.308988) -> ring_start=6880, ring_end=6912, Inside=0, Case=0
[Thread 216] ✅ Checking Point (0.308988, 1.687549) -> ring_start=6912, ring_end=6944, Inside=1, Case=1
[Thread 217] ✅ Checking Point (1.687549, 0.057811) -> ring_start=6944, ring_end=6976, Inside=0, Case=0
[Thread 218] ✅ Checking Point (0.057811, 1.762374) -> ring_start=6976, ring_end=7008, Inside=1, Case=1
[Thread 219] ✅ Checking Point (1.762374, 0.500251) -> ring_start=7008, ring_end=7040, Inside=0, Case=0
[Thread 220] ✅ Checking Point (0.500251, 0.454922) -> ring_start=7040, ring_end=7072, Inside=1, Case=1
[Thread 221] ✅ Checking Point (0.454922, 2.628181) -> ring_start=7072, ring_end=7104, Inside=0, Case=0
[Thread 222] ✅ Checking Point (2.628181, 0.073844) -> ring_start=7104, ring_end=7136, Inside=0, Case=1
[Thread 223] ✅ Checking Point (0.073844, 2.513040) -> ring_start=7136, ring_end=7168, Inside=0, Case=1
[Thread 224] ✅ Checking Point (2.513040, 1.512961) -> ring_start=7168, ring_end=7200, Inside=0, Case=1
[Thread 225] ✅ Checking Point (1.512961, 0.355393) -> ring_start=7200, ring_end=7232, Inside=0, Case=0
[Thread 226] ✅ Checking Point (0.355393, 0.054552) -> ring_start=7232, ring_end=7264, Inside=0, Case=1
[Thread 227] ✅ Checking Point (0.054552, 0.958125) -> ring_start=7264, ring_end=7296, Inside=0, Case=1
[Thread 228] ✅ Checking Point (0.958125, 2.574644) -> ring_start=7296, ring_end=7328, Inside=1, Case=1
[Thread 229] ✅ Checking Point (2.574644, 2.366317) -> ring_start=7328, ring_end=7360, Inside=0, Case=0
[Thread 230] ✅ Checking Point (2.366317, 0.676232) -> ring_start=7360, ring_end=7392, Inside=0, Case=1
[Thread 231] ✅ Checking Point (0.676232, 2.762800) -> ring_start=7392, ring_end=7424, Inside=0, Case=1
[Thread 232] ✅ Checking Point (2.762800, 0.571939) -> ring_start=7424, ring_end=7456, Inside=0, Case=1
[Thread 233] ✅ Checking Point (0.571939, 2.332773) -> ring_start=7456, ring_end=7488, Inside=0, Case=1
[Thread 234] ✅ Checking Point (2.332773, 0.288529) -> ring_start=7488, ring_end=7520, Inside=0, Case=1
[Thread 235] ✅ Checking Point (0.288529, 2.070113) -> ring_start=7520, ring_end=7552, Inside=0, Case=1
[Thread 236] ✅ Checking Point (2.070113, 0.091647) -> ring_start=7552, ring_end=7584, Inside=0, Case=1
[Thread 237] ✅ Checking Point (0.091647, 0.627317) -> ring_start=7584, ring_end=7616, Inside=0, Case=1
[Thread 238] ✅ Checking Point (0.627317, 2.827031) -> ring_start=7616, ring_end=7648, Inside=1, Case=1
[Thread 239] ✅ Checking Point (2.827031, 2.122460) -> ring_start=7648, ring_end=7680, Inside=0, Case=0
[Thread 240] ✅ Checking Point (2.122460, 2.420738) -> ring_start=7680, ring_end=7712, Inside=1, Case=1
[Thread 241] ✅ Checking Point (2.420738, 0.352684) -> ring_start=7712, ring_end=7744, Inside=0, Case=0
[Thread 242] ✅ Checking Point (0.352684, 0.351724) -> ring_start=7744, ring_end=7776, Inside=1, Case=1
[Thread 243] ✅ Checking Point (0.351724, 0.470290) -> ring_start=7776, ring_end=7808, Inside=1, Case=1
[Thread 244] ✅ Checking Point (0.470290, 1.486365) -> ring_start=7808, ring_end=7840, Inside=1, Case=1
[Thread 245] ✅ Checking Point (1.486365, 1.514174) -> ring_start=7840, ring_end=7872, Inside=0, Case=0
